time,open,high,low,close,volume
2006-04-18 00:00:00,613.2,621.9,612.3,620.6,9101
2006-04-19 00:00:00,620.6,642.2,620.6,639.9,9956
2006-04-20 00:00:00,639.7,645.6,606.3,611.5,9103
2006-04-21 00:00:00,611.7,634.9,609.8,634.8,6314
2006-04-24 00:00:00,634.8,639.8,618.7,621.0,6152
2006-04-25 00:00:00,620.5,634.8,619.0,630.2,7371
2006-04-26 00:00:00,629.7,640.9,628.0,638.4,7585
2006-04-27 00:00:00,638.6,643.4,626.9,633.3,7210
2006-04-28 00:00:00,633.4,655.8,633.3,654.5,7352
2006-05-01 00:00:00,654.3,661.4,650.4,654.7,5935
2006-05-02 00:00:00,655.1,669.3,652.6,668.6,8161
2006-05-03 00:00:00,668.5,677.0,658.3,667.0,4806
2006-05-04 00:00:00,666.9,680.2,660.7,679.3,9408
2006-05-05 00:00:00,679.6,684.1,675.0,683.3,5818
2006-05-08 00:00:00,683.1,686.1,671.1,678.3,7777
2006-05-09 00:00:00,679.0,700.7,677.9,700.6,7698
2006-05-10 00:00:00,700.5,708.1,693.6,707.4,7099
2006-05-11 00:00:00,707.4,725.8,704.0,713.8,7600
2006-05-12 00:00:00,713.6,730.2,708.0,714.9,6915
2006-05-15 00:00:00,714.5,720.1,676.2,677.2,6042
2006-05-16 00:00:00,677.0,692.8,674.4,690.0,6668
2006-05-17 00:00:00,690.3,716.3,685.1,686.8,6355
2006-05-18 00:00:00,686.9,694.2,678.3,681.9,5624
2006-05-19 00:00:00,682.0,688.2,650.8,659.7,7600
2006-05-22 00:00:00,657.2,661.1,636.4,655.6,6727
2006-05-23 00:00:00,655.6,674.6,651.2,666.2,7149
2006-05-24 00:00:00,666.0,670.1,635.3,640.3,5050
2006-05-25 00:00:00,640.5,650.6,638.6,650.5,5620
2006-05-26 00:00:00,650.5,655.2,640.2,653.2,4547
2006-05-29 00:00:00,653.1,653.5,647.1,650.0,345
2006-05-30 00:00:00,650.0,665.1,648.2,652.5,3740
2006-05-31 00:00:00,652.3,659.5,638.2,644.7,4852
2006-06-01 00:00:00,644.7,645.5,620.3,629.2,4433
2006-06-02 00:00:00,629.4,638.5,618.8,638.0,3063
2006-06-05 00:00:00,636.8,645.2,634.8,636.6,4678
2006-06-06 00:00:00,636.8,638.8,625.3,630.2,5750
2006-06-07 00:00:00,630.1,631.0,616.4,626.2,5097
2006-06-08 00:00:00,626.3,626.9,607.9,612.7,5419
2006-06-09 00:00:00,612.8,617.1,600.7,605.8,5410
2006-06-12 00:00:00,607.1,611.4,602.4,604.2,3059
2006-06-13 00:00:00,603.8,604.7,560.9,561.7,5595
2006-06-14 00:00:00,561.9,571.1,542.6,558.3,5691
2006-06-15 00:00:00,558.1,578.2,553.8,575.9,6200
2006-06-16 00:00:00,575.8,584.9,566.8,579.5,5714
2006-06-19 00:00:00,579.9,580.2,563.7,564.8,4933
2006-06-20 00:00:00,564.6,577.0,560.7,575.2,3626
2006-06-21 00:00:00,575.1,590.3,570.2,587.0,3434
2006-06-22 00:00:00,587.5,594.6,579.2,580.4,4620
2006-06-23 00:00:00,580.2,585.7,571.5,582.9,4574
2006-06-26 00:00:00,584.2,586.7,577.1,584.7,4097
2006-06-27 00:00:00,584.8,595.7,578.7,578.7,5167
2006-06-28 00:00:00,578.4,585.9,576.4,579.6,4643
2006-06-29 00:00:00,579.2,600.1,578.4,599.0,4735
2006-06-30 00:00:00,598.9,616.1,596.9,615.2,4688
2006-07-03 00:00:00,613.0,626.5,613.0,623.4,3151
2006-07-04 00:00:00,623.5,623.5,616.4,621.6,1142
2006-07-05 00:00:00,624.3,630.0,617.5,627.6,5191
2006-07-06 00:00:00,627.6,634.7,621.5,632.3,5017
2006-07-07 00:00:00,632.6,637.1,627.4,628.8,4720
2006-07-10 00:00:00,629.9,631.9,620.2,623.7,4921
2006-07-11 00:00:00,623.7,643.3,621.0,640.8,5022
2006-07-12 00:00:00,640.8,655.2,639.1,651.1,5318
2006-07-13 00:00:00,650.8,659.9,643.8,659.5,5618
2006-07-14 00:00:00,659.8,667.5,658.6,664.4,5153
2006-07-17 00:00:00,669.2,675.9,640.4,642.8,5792
2006-07-18 00:00:00,642.3,654.1,627.2,632.5,5979
2006-07-19 00:00:00,631.7,646.3,617.8,642.2,5451
2006-07-20 00:00:00,642.3,644.6,627.4,628.8,5150
2006-07-21 00:00:00,628.7,636.9,615.6,621.0,5978
2006-07-24 00:00:00,620.2,620.8,601.9,614.8,4927
2006-07-25 00:00:00,614.8,623.5,609.8,618.3,5530
2006-07-26 00:00:00,618.7,626.8,613.0,624.0,4359
2006-07-27 00:00:00,624.0,640.5,622.0,633.6,4513
2006-07-28 00:00:00,633.8,638.0,626.0,634.4,3803
2006-07-31 00:00:00,635.0,639.2,628.5,636.0,5264
2006-08-01 00:00:00,636.1,648.0,630.4,646.7,5045
2006-08-02 00:00:00,646.9,655.9,645.1,650.8,5426
2006-08-03 00:00:00,650.7,652.6,639.0,644.5,5236
2006-08-04 00:00:00,644.4,654.0,643.1,646.1,4519
2006-08-07 00:00:00,645.9,651.6,644.3,648.1,4293
2006-08-08 00:00:00,647.7,648.7,640.8,642.0,4523
2006-08-09 00:00:00,642.4,654.6,634.9,649.6,5493
2006-08-10 00:00:00,649.5,653.7,633.3,635.8,5558
2006-08-11 00:00:00,635.6,644.5,626.0,631.4,5030
2006-08-14 00:00:00,628.1,632.6,623.4,626.3,5703
2006-08-15 00:00:00,626.1,628.1,620.3,624.3,4888
2006-08-16 00:00:00,624.4,632.5,623.5,628.5,4785
2006-08-17 00:00:00,628.4,631.6,613.2,613.4,4880
2006-08-18 00:00:00,613.5,618.8,607.2,614.4,5267
2006-08-21 00:00:00,614.7,628.1,613.5,627.5,4845
2006-08-22 00:00:00,628.6,629.1,620.1,624.6,4558
2006-08-23 00:00:00,624.2,629.9,621.0,621.5,4589
2006-08-24 00:00:00,621.8,626.0,618.6,621.2,4691
2006-08-25 00:00:00,621.3,624.1,617.6,622.4,4117
2006-08-28 00:00:00,622.2,623.8,612.3,614.4,3944
2006-08-29 00:00:00,614.2,617.4,607.1,614.2,4495
2006-08-30 00:00:00,614.4,620.5,612.5,618.5,4309
2006-08-31 00:00:00,618.6,627.0,617.6,626.7,4458
2006-09-01 00:00:00,626.4,627.4,619.2,625.6,4577
2006-09-04 00:00:00,624.7,627.4,624.5,625.9,1224
2006-09-05 00:00:00,626.8,640.1,625.8,637.7,4534
2006-09-06 00:00:00,637.8,640.0,632.0,633.4,4656
2006-09-07 00:00:00,633.2,635.6,613.7,616.3,4914
2006-09-08 00:00:00,616.3,618.9,606.1,610.3,4716
2006-09-11 00:00:00,610.2,610.2,582.8,588.8,5918
