iteration,final_equity,profit,max_dd_pct,max_dd_dollars,is_ruined
0,26597.200000000048,16597.200000000048,1.163147307938615,257.8999999999978,False
1,27450.100000000042,17450.100000000042,1.898307658722248,260.7999999999993,False
2,25137.700000000033,15137.700000000033,1.6077067028507837,250.0,False
3,26767.000000000015,16767.000000000015,1.6122184663503112,300.0,False
4,28401.200000000026,18401.200000000026,1.2093433870080221,250.0,False
5,26245.500000000036,16245.500000000036,2.474966003214236,400.39999999999964,False
6,27790.000000000007,17790.000000000007,1.7806901955197827,300.0,False
7,26913.000000000036,16913.000000000036,2.2231197271584553,247.69999999999527,False
8,26061.200000000008,16061.200000000008,1.155481604732852,200.0,False
9,24092.199999999993,14092.199999999993,1.8169264871543294,250.0,False
10,27887.10000000002,17887.10000000002,0.9708737864077669,200.0,False
11,27357.800000000003,17357.800000000003,1.735749496632645,200.0,False
12,28031.00000000003,18031.00000000003,1.827502078783614,200.0,False
13,27482.80000000004,17482.80000000004,2.1433838028772803,250.0,False
14,25473.10000000005,15473.10000000005,2.279217486455459,256.1999999999989,False
15,26547.90000000001,16547.90000000001,1.7048263634348848,200.0,False
16,23205.200000000004,13205.200000000004,2.8708133971291865,300.0,False
17,26562.699999999986,16562.699999999986,2.902532943748912,300.0,False
18,23928.600000000042,13928.600000000042,1.581108116024008,318.4999999999927,False
19,26980.600000000013,16980.600000000013,2.175748478919312,324.70000000000255,False
20,27587.4,17587.4,1.6176256490722918,200.0,False
21,28268.600000000028,18268.600000000028,2.269974604414901,348.5999999999967,False
22,23566.30000000004,13566.30000000004,3.70254084539796,636.7999999999956,False
23,27290.400000000023,17290.400000000023,1.5649329817450555,200.0,False
24,28723.500000000015,18723.500000000015,3.601656762110573,400.0,False
25,25731.399999999987,15731.399999999987,1.538627236779346,300.0,False
26,26909.0,16909.0,1.3866676527414414,200.0,False
27,27058.20000000001,17058.20000000001,1.947638517063846,253.89999999999418,False
28,26014.999999999993,16014.999999999993,1.1179631934257033,200.0,False
29,25037.10000000001,15037.10000000001,1.9559834557551943,300.0,False
30,28418.599999999984,18418.599999999984,1.9303528685043627,200.0,False
31,26368.79999999998,16368.799999999981,1.7080819606047966,250.0,False
32,29709.700000000004,19709.700000000004,0.9216589861751152,182.79999999999563,False
33,25019.60000000001,15019.60000000001,1.9590327080100938,350.0,False
34,29684.900000000016,19684.900000000016,0.9988080890137764,173.29999999999927,False
35,26237.800000000007,16237.800000000007,2.7112905109002226,325.1000000000022,False
36,27612.200000000023,17612.200000000023,0.9644689633887575,250.0,False
37,27751.500000000015,17751.500000000015,1.0747661040266108,200.0,False
38,26668.10000000002,16668.10000000002,1.5764168046031373,300.0,False
39,25905.800000000025,15905.800000000025,1.325647398945825,250.40000000000146,False
40,25940.700000000015,15940.700000000015,1.535213970447131,295.19999999999345,False
41,30514.600000000028,20514.600000000028,1.6746491610007685,300.0,False
