<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.03	03:00:00	2064.690	2065.547	2063.262	2065.072	3102	0	199
2024.01.03	04:00:00	2065.023	2065.542	2064.354	2064.764	2458	0	199
2024.01.03	05:00:00	2064.762	2065.976	2063.401	2064.061	3280	0	199
2024.01.03	06:00:00	2064.024	2065.330	2063.377	2064.300	3493	0	200
2024.01.03	07:00:00	2064.268	2064.320	2060.826	2062.915	4267	0	199
2024.01.03	08:00:00	2062.917	2064.336	2058.833	2060.082	4905	0	199
2024.01.03	09:00:00	2060.051	2060.574	2054.243	2056.801	4867	0	199
2024.01.03	10:00:00	2056.745	2057.160	2052.639	2054.847	4397	0	199
2024.01.03	11:00:00	2054.851	2055.634	2046.622	2047.617	5219	0	199
2024.01.03	12:00:00	2047.648	2048.363	2041.728	2045.713	7189	0	199
2024.01.03	13:00:00	2045.746	2047.985	2038.644	2040.960	8301	0	199
2024.01.03	14:00:00	2041.027	2042.289	2031.682	2037.821	9402	0	199
2024.01.03	15:00:00	2037.770	2048.757	2031.758	2032.552	12451	0	199
2024.01.03	16:00:00	2032.601	2036.054	2031.250	2032.380	7596	0	199
2024.01.03	17:00:00	2032.423	2033.741	2030.541	2033.303	5297	0	199
2024.01.03	18:00:00	2033.311	2036.331	2032.853	2035.754	4378	0	199
