iteration,trades_count,win_rate,profit
0,48,0.1875,-1.1999999999999997
1,47,0.1276595744680851,-2.3
2,42,0.2857142857142857,0.6000000000000003
3,44,0.20454545454545456,-0.7999999999999998
4,45,0.26666666666666666,0.3000000000000004
5,34,0.2647058823529412,0.20000000000000026
6,39,0.20512820512820512,-0.6999999999999998
7,32,0.21875,-0.3999999999999998
8,44,0.1590909090909091,-1.5999999999999999
9,31,0.22580645161290322,-0.2999999999999998
10,39,0.23076923076923078,-0.29999999999999977
11,44,0.25,3.0531133177191805e-16
12,34,0.20588235294117646,-0.5999999999999999
13,49,0.2653061224489796,0.3000000000000004
14,36,0.19444444444444445,-0.7999999999999998
15,39,0.15384615384615385,-1.5
16,37,0.32432432432432434,1.1000000000000003
17,55,0.18181818181818182,-1.4999999999999998
18,43,0.27906976744186046,0.5000000000000003
19,42,0.16666666666666666,-1.4
20,38,0.21052631578947367,-0.5999999999999999
21,40,0.275,0.40000000000000036
22,49,0.1836734693877551,-1.2999999999999998
23,40,0.3,0.8000000000000004
24,36,0.1388888888888889,-1.5999999999999999
25,48,0.3333333333333333,1.6000000000000005
26,42,0.14285714285714285,-1.7999999999999998
27,38,0.2894736842105263,0.6000000000000003
28,49,0.1836734693877551,-1.2999999999999998
29,45,0.17777777777777778,-1.2999999999999998
30,33,0.24242424242424243,-0.09999999999999978
31,35,0.22857142857142856,-0.2999999999999998
32,29,0.27586206896551724,0.30000000000000027
33,45,0.15555555555555556,-1.7
34,33,0.24242424242424243,-0.09999999999999978
35,48,0.3125,1.2000000000000004
36,42,0.21428571428571427,-0.5999999999999998
37,36,0.25,2.498001805406602e-16
38,41,0.17073170731707318,-1.2999999999999998
39,49,0.16326530612244897,-1.7
40,39,0.05128205128205128,-3.1
41,44,0.22727272727272727,-0.39999999999999974
42,45,0.24444444444444444,-0.0999999999999997
43,38,0.18421052631578946,-0.9999999999999999
44,35,0.2857142857142857,0.5000000000000003
45,37,0.35135135135135137,1.5000000000000004
46,50,0.4,3.000000000000001
47,31,0.25806451612903225,0.10000000000000023
48,40,0.175,-1.2
49,25,0.12,-1.3
50,27,0.14814814814814814,-1.0999999999999999
51,44,0.2727272727272727,0.40000000000000036
52,43,0.18604651162790697,-1.0999999999999999
53,36,0.16666666666666666,-1.2
54,36,0.3055555555555556,0.8000000000000004
55,31,0.06451612903225806,-2.3000000000000003
56,44,0.1590909090909091,-1.5999999999999999
57,32,0.28125,0.40000000000000024
58,34,0.23529411764705882,-0.1999999999999998
59,37,0.16216216216216217,-1.2999999999999998
60,43,0.3023255813953488,0.9000000000000004
61,40,0.15,-1.5999999999999999
62,31,0.22580645161290322,-0.2999999999999998
63,43,0.20930232558139536,-0.6999999999999997
64,43,0.16279069767441862,-1.5
65,35,0.2571428571428571,0.10000000000000026
66,43,0.3953488372093023,2.5000000000000004
67,34,0.2647058823529412,0.20000000000000026
68,40,0.25,2.7755575615628914e-16
69,32,0.28125,0.40000000000000024
70,34,0.17647058823529413,-0.9999999999999999
71,48,0.1875,-1.1999999999999997
72,45,0.17777777777777778,-1.2999999999999998
73,33,0.15151515151515152,-1.2999999999999998
74,35,0.3142857142857143,0.9000000000000004
75,41,0.17073170731707318,-1.2999999999999998
76,50,0.14,-2.1999999999999997
77,42,0.21428571428571427,-0.5999999999999998
78,36,0.19444444444444445,-0.7999999999999998
79,29,0.20689655172413793,-0.4999999999999999
80,52,0.25,3.608224830031759e-16
81,43,0.20930232558139536,-0.6999999999999997
82,30,0.3,0.6000000000000003
83,41,0.24390243902439024,-0.09999999999999973
84,37,0.2702702702702703,0.30000000000000027
85,54,0.16666666666666666,-1.7999999999999998
86,37,0.2702702702702703,0.30000000000000027
87,36,0.2777777777777778,0.4000000000000003
88,46,0.2826086956521739,0.6000000000000004
89,28,0.25,1.942890293094024e-16
90,35,0.22857142857142856,-0.2999999999999998
91,50,0.22,-0.5999999999999998
92,52,0.15384615384615385,-2.0
93,46,0.21739130434782608,-0.5999999999999998
94,37,0.16216216216216217,-1.2999999999999998
95,38,0.21052631578947367,-0.5999999999999999
96,52,0.15384615384615385,-2.0
97,45,0.28888888888888886,0.7000000000000004
98,31,0.25806451612903225,0.10000000000000023
99,39,0.2564102564102564,0.10000000000000028
100,36,0.2222222222222222,-0.3999999999999998
101,45,0.2222222222222222,-0.4999999999999998
102,45,0.17777777777777778,-1.2999999999999998
103,36,0.19444444444444445,-0.7999999999999998
104,32,0.15625,-1.2
105,37,0.10810810810810811,-2.1
106,41,0.1951219512195122,-0.8999999999999998
107,39,0.15384615384615385,-1.5
108,46,0.15217391304347827,-1.7999999999999998
109,59,0.22033898305084745,-0.6999999999999997
110,36,0.16666666666666666,-1.2
111,53,0.11320754716981132,-2.9
112,56,0.21428571428571427,-0.7999999999999997
113,42,0.16666666666666666,-1.4
114,39,0.28205128205128205,0.5000000000000003
115,43,0.23255813953488372,-0.2999999999999997
116,36,0.1388888888888889,-1.5999999999999999
117,38,0.18421052631578946,-0.9999999999999999
118,47,0.23404255319148937,-0.2999999999999997
119,38,0.21052631578947367,-0.5999999999999999
120,36,0.2222222222222222,-0.3999999999999998
121,32,0.1875,-0.7999999999999998
122,35,0.17142857142857143,-1.0999999999999999
123,42,0.2857142857142857,0.6000000000000003
124,40,0.225,-0.3999999999999998
125,39,0.1282051282051282,-1.9
126,42,0.2619047619047619,0.20000000000000032
127,43,0.16279069767441862,-1.5
128,49,0.30612244897959184,1.1000000000000005
129,45,0.2222222222222222,-0.4999999999999998
130,37,0.21621621621621623,-0.4999999999999998
131,51,0.17647058823529413,-1.4999999999999998
132,41,0.1951219512195122,-0.8999999999999998
133,46,0.17391304347826086,-1.4
134,32,0.3125,0.8000000000000003
135,43,0.2558139534883721,0.10000000000000031
136,34,0.23529411764705882,-0.1999999999999998
137,36,0.19444444444444445,-0.7999999999999998
138,39,0.23076923076923078,-0.29999999999999977
139,58,0.25862068965517243,0.20000000000000043
140,54,0.2037037037037037,-0.9999999999999998
141,38,0.2894736842105263,0.6000000000000003
142,48,0.1875,-1.1999999999999997
143,44,0.20454545454545456,-0.7999999999999998
144,48,0.125,-2.4
145,43,0.18604651162790697,-1.0999999999999999
146,32,0.09375,-2.0
147,40,0.3,0.8000000000000004
148,42,0.2619047619047619,0.20000000000000032
149,42,0.09523809523809523,-2.6
150,48,0.22916666666666666,-0.3999999999999997
151,42,0.19047619047619047,-0.9999999999999998
152,41,0.12195121951219512,-2.1
153,41,0.17073170731707318,-1.2999999999999998
154,37,0.1891891891891892,-0.8999999999999999
155,41,0.1951219512195122,-0.8999999999999998
156,43,0.18604651162790697,-1.0999999999999999
157,44,0.1590909090909091,-1.5999999999999999
158,31,0.16129032258064516,-1.0999999999999999
159,32,0.25,2.220446049250313e-16
160,44,0.11363636363636363,-2.4
161,37,0.24324324324324326,-0.09999999999999976
162,28,0.32142857142857145,0.8000000000000003
163,34,0.20588235294117646,-0.5999999999999999
164,52,0.25,3.608224830031759e-16
165,27,0.2222222222222222,-0.2999999999999998
166,50,0.2,-0.9999999999999998
167,43,0.23255813953488372,-0.2999999999999997
168,38,0.15789473684210525,-1.4
169,44,0.29545454545454547,0.8000000000000004
170,36,0.2222222222222222,-0.3999999999999998
171,39,0.07692307692307693,-2.7
172,50,0.24,-0.19999999999999968
173,60,0.23333333333333334,-0.39999999999999963
174,43,0.11627906976744186,-2.3
175,48,0.25,3.3306690738754696e-16
176,42,0.07142857142857142,-3.0
177,34,0.29411764705882354,0.6000000000000003
178,35,0.14285714285714285,-1.5
179,42,0.16666666666666666,-1.4
180,37,0.1891891891891892,-0.8999999999999999
181,44,0.1590909090909091,-1.5999999999999999
182,41,0.2682926829268293,0.3000000000000003
183,39,0.20512820512820512,-0.6999999999999998
184,42,0.21428571428571427,-0.5999999999999998
185,36,0.2222222222222222,-0.3999999999999998
186,35,0.22857142857142856,-0.2999999999999998
187,47,0.1276595744680851,-2.3
188,48,0.22916666666666666,-0.3999999999999997
189,22,0.18181818181818182,-0.5999999999999999
190,39,0.23076923076923078,-0.29999999999999977
191,40,0.25,2.7755575615628914e-16
192,38,0.10526315789473684,-2.2
193,34,0.35294117647058826,1.4000000000000004
194,47,0.1276595744680851,-2.3
195,33,0.18181818181818182,-0.8999999999999999
196,37,0.2972972972972973,0.7000000000000004
197,46,0.1956521739130435,-0.9999999999999998
198,41,0.1951219512195122,-0.8999999999999998
199,49,0.24489795918367346,-0.09999999999999967
200,41,0.14634146341463414,-1.7
201,45,0.2,-0.8999999999999998
202,31,0.22580645161290322,-0.2999999999999998
203,35,0.22857142857142856,-0.2999999999999998
204,38,0.15789473684210525,-1.4
205,38,0.13157894736842105,-1.8
206,36,0.25,2.498001805406602e-16
207,29,0.2413793103448276,-0.09999999999999981
208,36,0.25,2.498001805406602e-16
209,51,0.1568627450980392,-1.9
210,44,0.1590909090909091,-1.5999999999999999
211,40,0.25,2.7755575615628914e-16
212,31,0.22580645161290322,-0.2999999999999998
213,31,0.1935483870967742,-0.6999999999999998
214,41,0.2682926829268293,0.3000000000000003
215,40,0.35,1.6000000000000005
216,43,0.2558139534883721,0.10000000000000031
217,50,0.16,-1.7999999999999998
218,42,0.14285714285714285,-1.7999999999999998
219,42,0.19047619047619047,-0.9999999999999998
220,37,0.10810810810810811,-2.1
221,29,0.1724137931034483,-0.8999999999999999
222,39,0.1794871794871795,-1.0999999999999999
223,33,0.2727272727272727,0.30000000000000027
224,21,0.14285714285714285,-0.8999999999999999
225,55,0.2,-1.0999999999999996
226,29,0.3103448275862069,0.7000000000000003
227,43,0.32558139534883723,1.3000000000000005
228,56,0.10714285714285714,-3.2
229,54,0.18518518518518517,-1.4
230,39,0.1794871794871795,-1.0999999999999999
231,47,0.2553191489361702,0.10000000000000034
232,35,0.14285714285714285,-1.5
233,44,0.20454545454545456,-0.7999999999999998
234,39,0.2564102564102564,0.10000000000000028
235,43,0.16279069767441862,-1.5
236,57,0.10526315789473684,-3.3
237,38,0.18421052631578946,-0.9999999999999999
238,45,0.4,2.7000000000000006
239,45,0.17777777777777778,-1.2999999999999998
240,42,0.30952380952380953,1.0000000000000004
241,43,0.20930232558139536,-0.6999999999999997
242,45,0.15555555555555556,-1.7
243,44,0.29545454545454547,0.8000000000000004
244,43,0.11627906976744186,-2.3
245,35,0.17142857142857143,-1.0999999999999999
246,45,0.2,-0.8999999999999998
247,48,0.22916666666666666,-0.3999999999999997
248,41,0.14634146341463414,-1.7
249,30,0.3333333333333333,1.0000000000000004
250,48,0.125,-2.4
251,45,0.17777777777777778,-1.2999999999999998
252,37,0.21621621621621623,-0.4999999999999998
253,42,0.21428571428571427,-0.5999999999999998
254,36,0.2222222222222222,-0.3999999999999998
255,42,0.2619047619047619,0.20000000000000032
256,37,0.2702702702702703,0.30000000000000027
257,33,0.12121212121212122,-1.7
258,46,0.2608695652173913,0.20000000000000034
259,52,0.21153846153846154,-0.7999999999999997
260,48,0.25,3.3306690738754696e-16
