iteration,trades_count,win_rate,profit
0,25,0.16,-0.8999999999999999
1,48,0.25,3.3306690738754696e-16
2,43,0.18604651162790697,-1.0999999999999999
3,41,0.17073170731707318,-1.2999999999999998
4,32,0.21875,-0.3999999999999998
5,49,0.20408163265306123,-0.8999999999999998
6,35,0.2,-0.6999999999999998
7,29,0.1724137931034483,-0.8999999999999999
8,34,0.20588235294117646,-0.5999999999999999
9,37,0.13513513513513514,-1.7
10,52,0.21153846153846154,-0.7999999999999997
11,43,0.18604651162790697,-1.0999999999999999
12,42,0.19047619047619047,-0.9999999999999998
13,37,0.1891891891891892,-0.8999999999999999
14,34,0.20588235294117646,-0.5999999999999999
15,51,0.19607843137254902,-1.0999999999999999
16,60,0.18333333333333332,-1.5999999999999999
17,44,0.13636363636363635,-2.0
18,45,0.2222222222222222,-0.4999999999999998
19,40,0.15,-1.5999999999999999
20,35,0.34285714285714286,1.3000000000000005
21,44,0.13636363636363635,-2.0
22,43,0.16279069767441862,-1.5
23,40,0.25,2.7755575615628914e-16
24,36,0.16666666666666666,-1.2
25,46,0.10869565217391304,-2.6
26,39,0.15384615384615385,-1.5
27,50,0.2,-0.9999999999999998
28,38,0.15789473684210525,-1.4
29,53,0.22641509433962265,-0.49999999999999967
30,46,0.34782608695652173,1.8000000000000005
31,37,0.16216216216216217,-1.2999999999999998
32,31,0.25806451612903225,0.10000000000000023
33,37,0.2972972972972973,0.7000000000000004
34,36,0.2777777777777778,0.4000000000000003
35,30,0.3,0.6000000000000003
36,42,0.19047619047619047,-0.9999999999999998
37,37,0.21621621621621623,-0.4999999999999998
38,44,0.11363636363636363,-2.4
39,46,0.21739130434782608,-0.5999999999999998
40,35,0.17142857142857143,-1.0999999999999999
41,49,0.14285714285714285,-2.1
42,60,0.18333333333333332,-1.5999999999999999
43,48,0.22916666666666666,-0.3999999999999997
44,38,0.21052631578947367,-0.5999999999999999
45,57,0.15789473684210525,-2.0999999999999996
46,40,0.15,-1.5999999999999999
47,53,0.1509433962264151,-2.1
48,36,0.2222222222222222,-0.3999999999999998
49,35,0.22857142857142856,-0.2999999999999998
